Country,Cities,PM10,PM25
Afghanistan,2,297,77
Albania,1,31.61542142,16.06236628
Andorra,1,18,11
Argentina,1,26.15166667,14.15959305
Australia,37,17.50529613,7.488654119
Austria,60,21.45524126,15.63411085
Bahrain,5,249.62,54.606
Bangladesh,8,140.4120265,77.9845386
Belgium,43,23.7891056,15.81097387
Bhutan,1,77.75,43.2438339
"Bolivia, Plurinational States of",2,70.76,38.31238815
Bosnia and Herzegovina,2,77.91188169,47.50827215
Brazil,45,33.78438871,15.21066098
Bulgaria,25,43.29580801,29.3772242
Cameroon,3,103.6666667,82.66666667
Canada,126,12.45629482,7.046180945
Chile,23,46.32820079,23.56292313
China,210,84.41134131,51.96425031
Colombia,18,39.85953704,20.08246736
Costa Rica,7,28.96923758,21.74203832
Croatia,5,31.18187266,19.0137481
Cyprus,5,36.65512809,15.97697967
Czech Republic,49,28.17092939,20.976082
Denmark,5,21.99281059,10.11098449
Ecuador,9,35.82351852,16.70435188
Egypt,2,173,73.1071508
El Salvador,1,77.20134773,41.8
Estonia,4,15.66459336,7.601732558
Finland,24,13.83201389,7.063051679
France,315,19.32957369,12.07023054
Georgia,2,41.495,21.90827811
Germany,161,19.36017718,13.52796415
Greece,10,33.97708754,12.74604893
Guatemala,1,56.25,40.875
Honduras,1,58.5,36
Hungary,17,25.67647059,20.54358876
Iceland,3,11.77435354,7.575498231
India,122,107.3507741,58.57177353
Indonesia,1,59.33215833,33
Iran (Islamic Republic of),25,114.6079894,47.62817621
Iraq,1,208,87.89761483
Ireland,8,16.0840737,10.27725902
Israel,40,43.8031753,19.1731419
Italy,236,26.04212959,17.48044182
Jamaica,6,37.85238889,20.49484759
Japan,15,27.63450455,14.55822222
Jordan,4,77.33785051,32.96988689
Kenya,1,33.19833427,17
Kuwait,11,139.0102727,57.17774969
Latvia,4,24.44795328,16.17329392
Lebanon,4,38,30.125
Liberia,2,59,9.5
Lithuania,9,29.59310869,19.90466017
Luxembourg,3,20.01637648,14.4931154
Madagascar,1,59.8,36.8
Malaysia,6,30.71981481,16.18360444
Maldives,1,20,11.1238158
Malta,4,28.30758741,13.06953494
Mauritius,5,48.41092188,24.78996883
Mexico,9,56.14893277,25.93758294
Monaco,1,14.85,9.055073837
Mongolia,1,165.1,75.1
Montenegro,5,41.70582938,25.53798607
Morocco,7,44.83857143,20.19144448
Myanmar,14,95.32142857,53.01690064
Nepal,1,88.29703926,49.11
Netherlands,24,22.72910166,14.38546346
New Zealand,40,16.06490385,7.960926435
Nigeria,12,201.9936841,36.44666667
Norway,12,20.33680075,9.603672698
Oman,1,82.0825,34.68680754
Pakistan,5,338.5420903,88.09
Panama,1,31.1,14
Paraguay,1,33.98336838,18.4
Peru,1,87.7961826,47.53648143
Philippines,8,52.375,26.12000134
Poland,154,33.58726916,25.0814789
Portugal,12,14.58333333,10.30066162
Qatar,2,159.8166667,89.26666667
Republic of Korea,16,46.75,24.62851786
Romania,42,24.7719703,17.56971045
Russian Federation,1,32.5,19.81750166
Saudi Arabia,7,247.5714286,104.6198946
Senegal,1,141.25,34
Serbia,3,33.70872776,20.55454672
Singapore,1,30,18
Slovakia,21,29.44158115,19.54615727
Slovenia,13,25.90175149,19.59132139
South Africa,13,53.9318998,29.96206198
Spain,225,17.74762546,9.542922822
Sri Lanka,1,64,35.59621054
Sweden,19,19.96180968,6.048613962
Switzerland,9,20.1637927,14.11465489
Thailand,26,44.79624542,24.91525912
The former Yugoslav Republic of Macedonia,4,83.42737184,49.04024448
Tunisia,4,78.75,33.27854408
Turkey,81,61.11047582,37.26329096
Uganda,1,170.4,104.3
Unit. Rep. of Tanzania,1,35.1,23.325
United Arab Emirates,5,135.84,57.40390384
United Kingdom,50,17.87656517,12.15079934
United States of America,372,15.36712113,8.320394426
Uruguay,1,25.83333333,8
"Venezuela, Bolivarian Republic of",1,47,25.44774227